제품명,표준코드명
"1. 포비딘인후스프레이액(포비돈요오드)(바닐라향), 2. 포비딘인후스프레이액(포비돈요오드)(청포도향)","""8806574011006"",""8806574011013"",""8806574011020"",""8806574011037"",""8806574011044"""
1.셀레나제100마이크로그램퍼오랄액(아셀렌산나트륨오수화물)2.셀레나제티퍼오랄액(아셀렌산나트륨오수화물),"""8806748000102"",""8806748000119"",""8806748000126"",""8806748000713"",""8806748000720"",""8806748000706"""
1.셀레뉴원오랄액(아셀렌산나트륨오수화물) 2.셀큐민185오랄액(아셀렌산나트륨오수화물),"""8806548022908"",""8806548022922"",""8806548022915"",""8806548023714"",""8806548023721"",""8806548022939"",""8806548023707"""
1.영진구론산바몬드액2.영진구론산바몬드스파클링액,"8806424006909"""""
1.큐앤큐포비돈거즈볼-중(포비돈요오드)2.큐앤큐포비돈거즈볼-대(포비돈요오드),"""8806810001402"",""8806810001426"",""8806810001419"",""8806810001433"",""8806810001440"",""8806810001457"",""8806810001464"",""8806810001471"",""8806810001488"",""8806810005714"",""8806810005721"",""8806810005738"",""8806810005745"",""8806810005707"",""8806810007039"",""8806810007046"",""8806810007015"",""8806810007022"",""8806810007138"",""8806810007145"",""8806810007152"",""8806810007114"",""8806810007121"",""8806810007053"",""8806810007008"",""8806810007107"",""8806810007411"",""8806810007428"",""8806810007435"",""8806810007442"",""8806810007459"",""8806810007510"",""8806810007527"",""8806810007534"",""8806810007541"",""8806810007558"",""8806810007404"",""8806810007503"",""8806810008319"",""8806810008326"",""8806810008210"",""8806810008227"",""8806810008203"",""8806810008302"",""8806810008333"",""8806810008234"",""8806810008241"",""8806810001495"""
5-엠씨크림(리도카인),"""8800570000200"",""8800570000217"",""8800570000224"",""8800570000231"""
가네진정,"8806939020636"""""
가네치온정100밀리그램(글루타티온(환원형)),"""8800570014504"",""8800570014511"""
가네카정,"8806497000118"""""
가네타인액,"""8806432029303"",""8806432029310"",""8806432029327"",""8806432029334"""
가네탑골드연질캡슐,"""8806417045205"",""8806431032502"",""8806417045212"""
가네톡액,"8806449149117"""""
가두벌크림,"""8806440000103"",""8806440000110"""
"가딘정75밀리그램

(라니티딘염산염)","""8806495069605"",""8806495069612"""
가레오액(디히드록시디부틸에테르),"""8806446000206"",""8806446000213"",""8806446000220"",""8806446000237"",""8806446000244"",""8806446000251"",""8806446000268"",""8806446000275"",""8806446000282"",""8806446000299"",""8806446037219"",""8806446037226"""
가레오연질캡슐(디히드록시디부틸에테르),"""8806446000305"",""8806446000312"",""8806446000329"",""8806446000336"""
가레오연질캡슐500밀리그램(디히드록시디부틸에테르),"""8806446000404"",""8806446000411"",""8806446000428"",""8806446000435"",""8806446000442"""
"가소콜액(시메티콘)(군납용 : 시메티콘현탁액500밀리리터, SimethiconeOralSuspension500ml)","""8806501000202"",""8806501000219"",""8806501000226"",""8806501000233"",""8806501000240"",""8806501000257"",""8806501000264"""
가스부틴정100mg(트리메부틴말레산염),"""8800590000105"",""8800590000112"",""8800590000129"",""8800590000136"""
가스제로구강필름(시메치콘),"""8806226003502"",""8806226003519"",""8806226003526"",""8806226003533"",""8806226003540"",""8806226003557"""
가스큐액(시메티콘),"""8806717046308"",""8806717046315"",""8806717046322"",""8806717046339"",""8806717046346"",""8806717046353"",""8806717046360"""
가스탁액(시메티콘),"""8806706070000"",""8806706070017"",""8806706070024"""
간프로액(L-아스파르트산-L-오르니틴),"""8806445025415"",""8806445025422"",""8806445025408"",""8806445025439"""
갈타제산(베타-갈락토시다제(아스퍼길루스)),"""8806420000109"",""8806420000116"",""8806420000123"",""8806420000130"",""8806420000147"",""8806420000154"""
감마린디액,"8806448000617"""""""
감마마그빅연질캡슐,"8806542021815"""""""
감바로과립,"8806458000119"""""
개비스콘더블액션현탁액,"8806406000819"""""
개비스콘페퍼민트현탁액,"8806406000215"""""
거글스프레이(포비돈요오드),"""8806265001507"",""8806425000401"",""8806265001521"",""8806425000418"",""8806265001514"",""8806425000425"""
건아이점안액(폴리소르베이트80)(1회용),"""8806495073411"",""8806495073404"",""8806495073428"""
건위황정,"""8806625000201"",""8806625000218"",""8806625000225"""
게루삼엠정(건조수산화알루미늄겔),"""8806537003802"",""8806537003819"",""8806537003826"",""8806537003833"",""8806537003840"",""8806537003857"",""8806537003864"""
게루삼정,"""8806537000603"",""8806537000610"",""8806537000627"""
게보린릴랙스연질캡슐,"""8806478050705"",""8806478050712"""
게보린브이정(아세트아미노펜),"""8806478053300"",""8806478053317"""
게보린소프트연질캡슐,"""8806478049402"",""8806478049419"""
게보린정(수출명:돌로린정),"""8806478000403"",""8806478000410"",""8806478000427"""
게보린쿨다운정,"8806478050606"""""""
게보핏파워플라스타(디클로페낙나트륨),"""8806798016108"",""8806478056615"",""8806798016115"",""8806478056646"",""8806798016122"",""8806478056622"",""8806798016146"",""8806478056639"",""8806798016139"",""8806478056714"",""8806798019611"",""8806478056721"",""8806798019628"",""8806478056738"",""8806798019635"",""8806478056745"",""8806798019642"",""8806478056813"",""8806798019604"",""8806478056820"",""8806798021317"",""8806478056608"",""8806798021324"",""8806478056707"",""8806798021300"",""8806478056806"""
게이트정(알마게이트),"""8806543048316"",""8806543048309"""
겔마현탁액,"8806478000816"""""
겔비스톤현탁액,"8806255000213"""""
겔투현탁액(알마게이트),"""8806478000908"",""8806478000915"",""8806478000922"""
겔티-포르테연질캡슐,"8806619040510"""""
겔포스엘현탁액,"8806419066826"""""
겔포스엠현탁액,"8806419000417"""""
