품목일련번호,품목명,큰제품이미지
200808876,가스디알정50밀리그램(디메크로틴산마그네슘),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300104
200808877,페라트라정2.5밀리그램(레트로졸),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300107
200808948,졸뎀속붕정(졸피뎀타르타르산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300128
200809076,가스프렌정(모사프리드시트르산염이수화물),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300143
200809361,바르탄정(발사르탄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300155
200809402,리피논정80밀리그램(아토르바스타틴칼슘삼수화물),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300161
200809710,사르발탄정160밀리그램(발사르탄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/153432591328100009
200809882,가스베트정5밀리그램(모사프리드시트르산염수화물),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333330132500103
200809883,아푸르탄정150밀리그램(이르베사르탄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300198
200809909,발사르텔정80밀리그램(발사르탄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OCNrLiTjPI
200809910,발사르텔정160밀리그램(발사르탄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NXa2J_Kd2y
200810125,에스시탈정5밀리그램(에스시탈로프람옥살산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700016
200810314,발산정80밀리그램(발사르탄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154298763309300033
200810338,가스리드정5mg(모사프리드시트르산염수화물),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700025
200810473,엑스반정80밀리그램(발사르탄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148665498867700136
200810509,뉴멘타민서방캡슐8밀리그램(갈란타민브롬화수소산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706776344700079
200810522,발트렙정160밀리그램(발사르탄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700046
200810789,수로신디정(탐스로신염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700049
200810870,로수로드정10밀리그램(로수바스타틴칼슘),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706768099900035
200811104,디오살탄정160밀리그램(발사르탄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154298782012500025
200811105,디오살탄정80밀리그램(발사르탄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154298782012500031
200811403,칸데사르정8밀리그램(칸데사르탄실렉세틸),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706776344800062
200811404,칸데사르정16밀리그램(칸데사르탄실렉세틸),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706776344800068
200811619,디로탄정160mg(발사르탄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700097
200811883,인케어정(옥수수불검화정량추출물),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700117
200811971,제이코정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150834126208100152
200900018,깅코탄연질캡슐120밀리그램(은행엽건조엑스),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mky9VD2vUV
200900026,리버풀350연질캡슐(밀크시슬열매건조엑스),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146031286653200142
200900193,모니맥정(모니플루메이트),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700170
200900194,모니필정350밀리그램(모니플루메이트),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6BNX
200900195,모니메르정(모니플루메이트),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152648520364900007
200900196,모니트정350밀리그램(모니플루메이트),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1O1A3H02Ph8
200900242,키비칼츄어블정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700190
200900378,칸데사르플러스정16/12.5밀리그램,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706776344800074
200900605,코프나캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800014
200900682,굿스펜연질캡슐(덱시부프로펜),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Oikd3yeYje
